Logging to /home/windrist/Workspace/ThichNghi_ws/src/aslam_rl/log/PPO_ContinuousObs/PPO_Extended_0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 44       |
|    ep_rew_mean     | -93.1    |
| time/              |          |
|    fps             | 7        |
|    iterations      | 1        |
|    time_elapsed    | 263      |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 45.4         |
|    ep_rew_mean          | 25.2         |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 2            |
|    time_elapsed         | 526          |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0027408549 |
|    clip_fraction        | 0.1          |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.265        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.03e+04     |
|    n_updates            | 2460         |
|    policy_gradient_loss | 0.00214      |
|    std                  | 0.472        |
|    value_loss           | 4.59e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 46.9         |
|    ep_rew_mean          | 118          |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 3            |
|    time_elapsed         | 786          |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0020161348 |
|    clip_fraction        | 0.000684     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.777        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.64e+04     |
|    n_updates            | 2470         |
|    policy_gradient_loss | -0.00201     |
|    std                  | 0.472        |
|    value_loss           | 2.96e+04     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48.6        |
|    ep_rew_mean          | 115         |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 4           |
|    time_elapsed         | 1044        |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.002404769 |
|    clip_fraction        | 0.0128      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | 0.829       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.83e+03    |
|    n_updates            | 2480        |
|    policy_gradient_loss | -0.00316    |
|    std                  | 0.472       |
|    value_loss           | 2.57e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48.5        |
|    ep_rew_mean          | 176         |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 5           |
|    time_elapsed         | 1308        |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.003212045 |
|    clip_fraction        | 0.0118      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | 0.866       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.35e+03    |
|    n_updates            | 2490        |
|    policy_gradient_loss | -0.00189    |
|    std                  | 0.472       |
|    value_loss           | 2.1e+04     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 47.5         |
|    ep_rew_mean          | 99.2         |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 6            |
|    time_elapsed         | 1571         |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0051763365 |
|    clip_fraction        | 0.0309       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.895        |
|    learning_rate        | 0.0003       |
|    loss                 | 6.61e+03     |
|    n_updates            | 2500         |
|    policy_gradient_loss | -0.00504     |
|    std                  | 0.472        |
|    value_loss           | 1.78e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 47.3         |
|    ep_rew_mean          | 85.8         |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 7            |
|    time_elapsed         | 1831         |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0007700048 |
|    clip_fraction        | 0.000293     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.893        |
|    learning_rate        | 0.0003       |
|    loss                 | 5.61e+03     |
|    n_updates            | 2510         |
|    policy_gradient_loss | -0.00171     |
|    std                  | 0.472        |
|    value_loss           | 1.87e+04     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48.4        |
|    ep_rew_mean          | 175         |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 8           |
|    time_elapsed         | 2092        |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.003193767 |
|    clip_fraction        | 0.0236      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | 0.902       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.06e+03    |
|    n_updates            | 2520        |
|    policy_gradient_loss | -0.00288    |
|    std                  | 0.472       |
|    value_loss           | 1.62e+04    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 47.1         |
|    ep_rew_mean          | 254          |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 9            |
|    time_elapsed         | 2356         |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0057112486 |
|    clip_fraction        | 0.0183       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.924        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.68e+03     |
|    n_updates            | 2530         |
|    policy_gradient_loss | -0.00452     |
|    std                  | 0.471        |
|    value_loss           | 1.28e+04     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 47.3          |
|    ep_rew_mean          | 207           |
| time/                   |               |
|    fps                  | 7             |
|    iterations           | 10            |
|    time_elapsed         | 2617          |
|    total_timesteps      | 20480         |
| train/                  |               |
|    approx_kl            | 0.00071853155 |
|    clip_fraction        | 0.00361       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.33         |
|    explained_variance   | 0.929         |
|    learning_rate        | 0.0003        |
|    loss                 | 5.25e+03      |
|    n_updates            | 2540          |
|    policy_gradient_loss | -0.00144      |
|    std                  | 0.471         |
|    value_loss           | 1.41e+04      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 49.6         |
|    ep_rew_mean          | 236          |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 11           |
|    time_elapsed         | 2874         |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0024216613 |
|    clip_fraction        | 0.00469      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.846        |
|    learning_rate        | 0.0003       |
|    loss                 | 6.57e+03     |
|    n_updates            | 2550         |
|    policy_gradient_loss | -0.000987    |
|    std                  | 0.471        |
|    value_loss           | 2.49e+04     |
------------------------------------------
