Logging to /home/windrist/Workspace/ThichNghi_ws/src/aslam_rl/log/PPO_ContinuousObs/PPO_Extended_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 144      |
|    ep_rew_mean     | 326      |
| time/              |          |
|    fps             | 9        |
|    iterations      | 1        |
|    time_elapsed    | 223      |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 132          |
|    ep_rew_mean          | 464          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 2            |
|    time_elapsed         | 450          |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0035263249 |
|    clip_fraction        | 0.021        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.99        |
|    explained_variance   | 0.872        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.02e+03     |
|    n_updates            | 4180         |
|    policy_gradient_loss | -0.0062      |
|    std                  | 0.655        |
|    value_loss           | 6.11e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 136         |
|    ep_rew_mean          | 464         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 3           |
|    time_elapsed         | 672         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.005826799 |
|    clip_fraction        | 0.0358      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.99       |
|    explained_variance   | 0.957       |
|    learning_rate        | 0.0003      |
|    loss                 | 896         |
|    n_updates            | 4190        |
|    policy_gradient_loss | -0.00866    |
|    std                  | 0.657       |
|    value_loss           | 2.46e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 156         |
|    ep_rew_mean          | 483         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 4           |
|    time_elapsed         | 889         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.003723397 |
|    clip_fraction        | 0.0169      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.99       |
|    explained_variance   | 0.934       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.24e+03    |
|    n_updates            | 4200        |
|    policy_gradient_loss | -0.00616    |
|    std                  | 0.656       |
|    value_loss           | 4.82e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 155         |
|    ep_rew_mean          | 474         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 5           |
|    time_elapsed         | 1113        |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.006052835 |
|    clip_fraction        | 0.0389      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.99       |
|    explained_variance   | 0.954       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.1e+03     |
|    n_updates            | 4210        |
|    policy_gradient_loss | -0.00847    |
|    std                  | 0.657       |
|    value_loss           | 2.99e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
|    ep_rew_mean          | 452         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 6           |
|    time_elapsed         | 1337        |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.007870268 |
|    clip_fraction        | 0.0655      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.99       |
|    explained_variance   | 0.977       |
|    learning_rate        | 0.0003      |
|    loss                 | 518         |
|    n_updates            | 4220        |
|    policy_gradient_loss | -0.00926    |
|    std                  | 0.653       |
|    value_loss           | 1.83e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 155         |
|    ep_rew_mean          | 444         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 7           |
|    time_elapsed         | 1558        |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.006465514 |
|    clip_fraction        | 0.0584      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.98       |
|    explained_variance   | 0.952       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.09e+03    |
|    n_updates            | 4230        |
|    policy_gradient_loss | -0.0117     |
|    std                  | 0.654       |
|    value_loss           | 2.28e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 158          |
|    ep_rew_mean          | 458          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 8            |
|    time_elapsed         | 1780         |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0067701126 |
|    clip_fraction        | 0.0454       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.98        |
|    explained_variance   | 0.859        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.03e+03     |
|    n_updates            | 4240         |
|    policy_gradient_loss | -0.00667     |
|    std                  | 0.654        |
|    value_loss           | 6.37e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 160          |
|    ep_rew_mean          | 475          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 9            |
|    time_elapsed         | 2000         |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0032027108 |
|    clip_fraction        | 0.0212       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.98        |
|    explained_variance   | 0.946        |
|    learning_rate        | 0.0003       |
|    loss                 | 884          |
|    n_updates            | 4250         |
|    policy_gradient_loss | -0.00515     |
|    std                  | 0.654        |
|    value_loss           | 2.98e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 164         |
|    ep_rew_mean          | 464         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 10          |
|    time_elapsed         | 2223        |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.006737375 |
|    clip_fraction        | 0.0518      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.97       |
|    explained_variance   | 0.977       |
|    learning_rate        | 0.0003      |
|    loss                 | 305         |
|    n_updates            | 4260        |
|    policy_gradient_loss | -0.0108     |
|    std                  | 0.65        |
|    value_loss           | 1.19e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 165          |
|    ep_rew_mean          | 442          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 11           |
|    time_elapsed         | 2446         |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0042752763 |
|    clip_fraction        | 0.0382       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.96        |
|    explained_variance   | 0.944        |
|    learning_rate        | 0.0003       |
|    loss                 | 588          |
|    n_updates            | 4270         |
|    policy_gradient_loss | -0.00656     |
|    std                  | 0.649        |
|    value_loss           | 3.79e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 163         |
|    ep_rew_mean          | 449         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 12          |
|    time_elapsed         | 2665        |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.003207949 |
