Logging to /home/windrist/Workspace/ThichNghi_ws/src/aslam_rl/log/PPO_ContinuousObs/PPO_Extended_7
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 72.1     |
|    ep_rew_mean     | 530      |
| time/              |          |
|    fps             | 8        |
|    iterations      | 1        |
|    time_elapsed    | 238      |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.7        |
|    ep_rew_mean          | 527         |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 2           |
|    time_elapsed         | 479         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.008671477 |
|    clip_fraction        | 0.0929      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.578      |
|    explained_variance   | 0.968       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.16e+03    |
|    n_updates            | 8840        |
|    policy_gradient_loss | -0.0083     |
|    std                  | 0.324       |
|    value_loss           | 4.17e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 80.8         |
|    ep_rew_mean          | 500          |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 3            |
|    time_elapsed         | 714          |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0076229195 |
|    clip_fraction        | 0.0628       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.577       |
|    explained_variance   | 0.937        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.49e+03     |
|    n_updates            | 8850         |
|    policy_gradient_loss | -0.00915     |
|    std                  | 0.323        |
|    value_loss           | 4.74e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 77.2         |
|    ep_rew_mean          | 480          |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 4            |
|    time_elapsed         | 955          |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0066557676 |
|    clip_fraction        | 0.0687       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.575       |
|    explained_variance   | 0.922        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.63e+03     |
|    n_updates            | 8860         |
|    policy_gradient_loss | -0.00816     |
|    std                  | 0.323        |
|    value_loss           | 6.92e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 79.2        |
|    ep_rew_mean          | 462         |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 5           |
|    time_elapsed         | 1196        |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.008412294 |
|    clip_fraction        | 0.0815      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.573      |
|    explained_variance   | 0.946       |
|    learning_rate        | 0.0003      |
|    loss                 | 877         |
|    n_updates            | 8870        |
|    policy_gradient_loss | -0.00803    |
|    std                  | 0.322       |
|    value_loss           | 3.59e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 79.8         |
|    ep_rew_mean          | 386          |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 6            |
|    time_elapsed         | 1432         |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0089684995 |
|    clip_fraction        | 0.0738       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.567       |
|    explained_variance   | 0.964        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.22e+03     |
|    n_updates            | 8880         |
|    policy_gradient_loss | -0.0107      |
|    std                  | 0.321        |
|    value_loss           | 3.99e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 85.6         |
|    ep_rew_mean          | 415          |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 7            |
|    time_elapsed         | 1661         |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0062753167 |
|    clip_fraction        | 0.0518       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.562       |
|    explained_variance   | 0.947        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.41e+03     |
|    n_updates            | 8890         |
|    policy_gradient_loss | -0.0083      |
|    std                  | 0.321        |
|    value_loss           | 6.65e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 86.4        |
|    ep_rew_mean          | 446         |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 8           |
|    time_elapsed         | 1899        |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.008222533 |
|    clip_fraction        | 0.0621      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.56       |
|    explained_variance   | 0.873       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.63e+03    |
|    n_updates            | 8900        |
|    policy_gradient_loss | -0.0095     |
|    std                  | 0.32        |
|    value_loss           | 1.11e+04    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 86.1         |
|    ep_rew_mean          | 460          |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 9            |
|    time_elapsed         | 2145         |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0066384235 |
|    clip_fraction        | 0.0691       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.561       |
|    explained_variance   | 0.902        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.84e+03     |
|    n_updates            | 8910         |
|    policy_gradient_loss | -0.00578     |
|    std                  | 0.321        |
|    value_loss           | 9.25e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 78.4         |
|    ep_rew_mean          | 529          |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 10           |
|    time_elapsed         | 2390         |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0058437516 |
|    clip_fraction        | 0.0622       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.563       |
|    explained_variance   | 0.841        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.64e+03     |
|    n_updates            | 8920         |
|    policy_gradient_loss | -0.00939     |
|    std                  | 0.321        |
|    value_loss           | 1.03e+04     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 74.2       |
|    ep_rew_mean          | 516        |
| time/                   |            |
|    fps                  | 8          |
|    iterations           | 11         |
|    time_elapsed         | 2626       |
|    total_timesteps      | 22528      |
| train/                  |            |
|    approx_kl            | 0.00933839 |
|    clip_fraction        | 0.0883     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.563     |
|    explained_variance   | 0.952      |
|    learning_rate        | 0.0003     |
|    loss                 | 605        |
|    n_updates            | 8930       |
|    policy_gradient_loss | -0.00852   |
|    std                  | 0.321      |
|    value_loss           | 3.32e+03   |
----------------------------------------
