Logging to /home/windrist/Workspace/ThichNghi_ws/src/aslam_rl/log/PPO_ContinuousObs/PPO_Extended_3
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 139      |
|    ep_rew_mean     | 478      |
| time/              |          |
|    fps             | 9        |
|    iterations      | 1        |
|    time_elapsed    | 223      |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 152         |
|    ep_rew_mean          | 559         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 2           |
|    time_elapsed         | 444         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.010341958 |
|    clip_fraction        | 0.0681      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | 413         |
|    n_updates            | 4670        |
|    policy_gradient_loss | -0.00988    |
|    std                  | 0.61        |
|    value_loss           | 1.66e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 152          |
|    ep_rew_mean          | 593          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 3            |
|    time_elapsed         | 668          |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0040772334 |
|    clip_fraction        | 0.0422       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.84        |
|    explained_variance   | 0.941        |
|    learning_rate        | 0.0003       |
|    loss                 | 494          |
|    n_updates            | 4680         |
|    policy_gradient_loss | -0.00682     |
|    std                  | 0.61         |
|    value_loss           | 2.66e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 151         |
|    ep_rew_mean          | 527         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 4           |
|    time_elapsed         | 891         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.010088805 |
|    clip_fraction        | 0.078       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0003      |
|    loss                 | 319         |
|    n_updates            | 4690        |
|    policy_gradient_loss | -0.0122     |
|    std                  | 0.606       |
|    value_loss           | 893         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 152          |
|    ep_rew_mean          | 433          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 5            |
|    time_elapsed         | 1115         |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0053211697 |
|    clip_fraction        | 0.0475       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.83        |
|    explained_variance   | 0.936        |
|    learning_rate        | 0.0003       |
|    loss                 | 786          |
|    n_updates            | 4700         |
|    policy_gradient_loss | -0.00901     |
|    std                  | 0.603        |
|    value_loss           | 2.34e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 146          |
|    ep_rew_mean          | 452          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 6            |
|    time_elapsed         | 1342         |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0035200221 |
|    clip_fraction        | 0.0333       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.82        |
|    explained_variance   | 0.924        |
|    learning_rate        | 0.0003       |
|    loss                 | 680          |
|    n_updates            | 4710         |
|    policy_gradient_loss | -0.00597     |
|    std                  | 0.601        |
|    value_loss           | 4.43e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 146          |
|    ep_rew_mean          | 440          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 7            |
|    time_elapsed         | 1566         |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0031943163 |
|    clip_fraction        | 0.0193       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.81        |
|    explained_variance   | 0.862        |
|    learning_rate        | 0.0003       |
|    loss                 | 8.92e+03     |
|    n_updates            | 4720         |
|    policy_gradient_loss | -0.0061      |
|    std                  | 0.601        |
|    value_loss           | 7.37e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 145          |
|    ep_rew_mean          | 408          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 8            |
|    time_elapsed         | 1789         |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0043852814 |
|    clip_fraction        | 0.0132       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.81        |
|    explained_variance   | 0.865        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.39e+03     |
|    n_updates            | 4730         |
|    policy_gradient_loss | -0.00432     |
|    std                  | 0.601        |
|    value_loss           | 7.87e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 147          |
|    ep_rew_mean          | 373          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 9            |
|    time_elapsed         | 2011         |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0033794497 |
|    clip_fraction        | 0.0454       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.81        |
|    explained_variance   | 0.781        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.1e+04      |
|    n_updates            | 4740         |
|    policy_gradient_loss | -0.00818     |
|    std                  | 0.599        |
|    value_loss           | 1.02e+04     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 146        |
|    ep_rew_mean          | 344        |
| time/                   |            |
|    fps                  | 9          |
|    iterations           | 10         |
|    time_elapsed         | 2236       |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.00464942 |
|    clip_fraction        | 0.0356     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.81      |
|    explained_variance   | 0.825      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.27e+03   |
|    n_updates            | 4750       |
|    policy_gradient_loss | -0.00699   |
|    std                  | 0.6        |
|    value_loss           | 5.9e+03    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 148         |
|    ep_rew_mean          | 322         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 11          |
|    time_elapsed         | 2457        |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.004579639 |
|    clip_fraction        | 0.0139      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | 0.855       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.77e+03    |
|    n_updates            | 4760        |
|    policy_gradient_loss | -0.00451    |
|    std                  | 0.6         |
|    value_loss           | 9.52e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 150          |
|    ep_rew_mean          | 323          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 12           |
|    time_elapsed         | 2677         |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0023965605 |
|    clip_fraction        | 0.0135       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.81        |
|    explained_variance   | 0.758        |
|    learning_rate        | 0.0003       |
|    loss                 | 3e+03        |
|    n_updates            | 4770         |
|    policy_gradient_loss | -0.00455     |
|    std                  | 0.6          |
|    value_loss           | 1.06e+04     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 154          |
|    ep_rew_mean          | 319          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 13           |
|    time_elapsed         | 2900         |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0054427884 |
|    clip_fraction        | 0.0347       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.81        |
|    explained_variance   | 0.912        |
|    learning_rate        | 0.0003       |
|    loss                 | 763          |
|    n_updates            | 4780         |
|    policy_gradient_loss | -0.00751     |
|    std                  | 0.598        |
|    value_loss           | 4.56e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 156          |
|    ep_rew_mean          | 338          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 14           |
|    time_elapsed         | 3123         |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0031783923 |
|    clip_fraction        | 0.0154       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.8         |
|    explained_variance   | 0.807        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.02e+04     |
|    n_updates            | 4790         |
|    policy_gradient_loss | -0.00436     |
|    std                  | 0.597        |
|    value_loss           | 1.24e+04     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 161         |
|    ep_rew_mean          | 329         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 15          |
|    time_elapsed         | 3337        |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.005761938 |
|    clip_fraction        | 0.0311      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.919       |
|    learning_rate        | 0.0003      |
|    loss                 | 553         |
|    n_updates            | 4800        |
|    policy_gradient_loss | -0.00746    |
|    std                  | 0.597       |
|    value_loss           | 3.13e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 172         |
|    ep_rew_mean          | 350         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 16          |
|    time_elapsed         | 3559        |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.005062251 |
|    clip_fraction        | 0.0481      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.834       |
|    learning_rate        | 0.0003      |
|    loss                 | 319         |
|    n_updates            | 4810        |
|    policy_gradient_loss | -0.00812    |
|    std                  | 0.597       |
|    value_loss           | 2.8e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 166         |
|    ep_rew_mean          | 371         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 17          |
|    time_elapsed         | 3787        |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.006901661 |
|    clip_fraction        | 0.0359      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.932       |
|    learning_rate        | 0.0003      |
|    loss                 | 210         |
|    n_updates            | 4820        |
|    policy_gradient_loss | -0.00884    |
|    std                  | 0.595       |
|    value_loss           | 2.36e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 166         |
|    ep_rew_mean          | 373         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 18          |
|    time_elapsed         | 4007        |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.006079299 |
|    clip_fraction        | 0.0674      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | 0.942       |
|    learning_rate        | 0.0003      |
|    loss                 | 602         |
|    n_updates            | 4830        |
|    policy_gradient_loss | -0.0094     |
|    std                  | 0.594       |
|    value_loss           | 4.14e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 161         |
|    ep_rew_mean          | 423         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 19          |
|    time_elapsed         | 4234        |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.004931039 |
|    clip_fraction        | 0.0288      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.79       |
|    explained_variance   | 0.894       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.01e+03    |
|    n_updates            | 4840        |
|    policy_gradient_loss | -0.00719    |
|    std                  | 0.595       |
|    value_loss           | 5.17e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 152          |
|    ep_rew_mean          | 508          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 20           |
|    time_elapsed         | 4464         |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0042498317 |
|    clip_fraction        | 0.023        |
|    clip_range           | 0.2          |
