Logging to /home/windrist/Workspace/ThichNghi_ws/src/aslam_rl/log/PPO_ContinuousObs/PPO_Extended_5
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 115      |
|    ep_rew_mean     | 809      |
| time/              |          |
|    fps             | 9        |
|    iterations      | 1        |
|    time_elapsed    | 225      |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 136          |
|    ep_rew_mean          | 796          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 2            |
|    time_elapsed         | 450          |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0046656374 |
|    clip_fraction        | 0.0215       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.786       |
|    explained_variance   | 0.258        |
|    learning_rate        | 0.0003       |
|    loss                 | 4.67e+03     |
|    n_updates            | 7370         |
|    policy_gradient_loss | -0.00435     |
|    std                  | 0.359        |
|    value_loss           | 1.22e+04     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 132         |
|    ep_rew_mean          | 694         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 3           |
|    time_elapsed         | 676         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.007500727 |
|    clip_fraction        | 0.0585      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.784      |
|    explained_variance   | 0.834       |
|    learning_rate        | 0.0003      |
|    loss                 | 540         |
|    n_updates            | 7380        |
|    policy_gradient_loss | -0.00549    |
|    std                  | 0.359       |
|    value_loss           | 3.21e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 123         |
|    ep_rew_mean          | 731         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 4           |
|    time_elapsed         | 906         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.005041996 |
|    clip_fraction        | 0.0385      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.783      |
|    explained_variance   | 0.591       |
|    learning_rate        | 0.0003      |
|    loss                 | 8.41e+03    |
|    n_updates            | 7390        |
|    policy_gradient_loss | -0.00524    |
|    std                  | 0.359       |
|    value_loss           | 1.36e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 775         |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 5           |
|    time_elapsed         | 1140        |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.008822901 |
|    clip_fraction        | 0.0792      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.781      |
|    explained_variance   | 0.836       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.9e+03     |
|    n_updates            | 7400        |
|    policy_gradient_loss | -0.00654    |
|    std                  | 0.358       |
|    value_loss           | 7.03e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 128          |
|    ep_rew_mean          | 740          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 6            |
|    time_elapsed         | 1359         |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0070680627 |
|    clip_fraction        | 0.0793       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.776       |
|    explained_variance   | 0.729        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.23e+03     |
|    n_updates            | 7410         |
|    policy_gradient_loss | -0.013       |
|    std                  | 0.357        |
|    value_loss           | 4.62e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 133         |
|    ep_rew_mean          | 731         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 7           |
|    time_elapsed         | 1579        |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.006624505 |
|    clip_fraction        | 0.053       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.775      |
|    explained_variance   | 0.315       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.56e+03    |
|    n_updates            | 7420        |
|    policy_gradient_loss | -0.00793    |
|    std                  | 0.358       |
|    value_loss           | 1.2e+04     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 141         |
|    ep_rew_mean          | 709         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 8           |
|    time_elapsed         | 1801        |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.009147149 |
|    clip_fraction        | 0.0962      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.775      |
|    explained_variance   | 0.821       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.84e+03    |
|    n_updates            | 7430        |
|    policy_gradient_loss | -0.00764    |
|    std                  | 0.357       |
|    value_loss           | 4.55e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 132         |
|    ep_rew_mean          | 728         |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 9           |
|    time_elapsed         | 2031        |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.008733632 |
|    clip_fraction        | 0.0871      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.774      |
|    explained_variance   | 0.818       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.53e+03    |
|    n_updates            | 7440        |
|    policy_gradient_loss | -0.0073     |
|    std                  | 0.357       |
|    value_loss           | 5.26e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 143          |
|    ep_rew_mean          | 739          |
| time/                   |              |
|    fps                  | 9            |
|    iterations           | 10           |
|    time_elapsed         | 2250         |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0038241257 |
|    clip_fraction        | 0.0347       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.775       |
|    explained_variance   | 0.679        |
